,DOI,Title,Abstract
0,10.1093/sleep/zsab294,"Lucid dreaming occurs in activated rapid eye movement sleep, not a mixture of sleep and wakefulness.","Abstract
               
                  Study Objectives
                  (1) To critically test whether a previously reported increase in frontolateral 40 Hz power in lucid REM sleep, used to justify the claim that lucid dreaming is a “hybrid state” mixing sleep and wakefulness, is attributable to the saccadic spike potential (SP) artifact as a corollary of heightened REM density. (2) To replicate the finding that lucid dreams are associated with physiological activation, including heightened eye movement density, during REM sleep. (3) To conduct an exploratory analysis of changes in EEG features during lucid REM sleep
               
               
                  Methods
                  We analyzed 14 signal-verified lucid dreams (SVLDs) and baseline REM sleep segments from the same REM periods from six participants derived from the Stanford SVLD database. Participants marked lucidity onset with standard left-right-left-right-center (LR2c) eye-movement signals in polysomnography recordings.
               
               
                  Results
                  Compared to baseline REM sleep, lucid REM sleep had higher REM density (β = 0.85, p = 0.002). Bayesian analysis supported the null hypothesis of no differences in frontolateral 40 Hz power after removal of the SP artifact (BH = 0.18) and ICA correction (BH = 0.01). Compared to the entire REM sleep period, lucid REM sleep showed small reductions in low-frequency and beta band spectral power as well as increased signal complexity (all p &amp;lt; 0.05), which were within the normal variance of baseline REM sleep.
               
               
                  Conclusions
                  Lucid dreams are associated with higher-than-average levels of physiological activation during REM sleep, including measures of both subcortical and cortical activation. Increases in 40 Hz power in periorbital channels reflect saccadic and microsaccadic SPs as a result of higher REM density accompanying heightened activation.
               "
1,10.1080/15360288.2022.2081754,Lucid Dreams Associated with Pregabalin: Implications for Clinical Practice.,"Here, we describe a case of a patient with multiple myeloma who reported symptoms of lucid dreams. This patient was taking methadone for neoplasm related pain. The patient was also taking pregabalin which was initially started at dosing of 50 mg taken orally three times a day. Five days after initiation of pregabalin, the dosing was increased to 100 mg taken orally three times daily. The patient developed lucid dreams during a hospital stay and methadone was initially thought to be the cause of her lucid dreams. Methadone dosing was decreased with no success, and her lucid dreams persisted. On the patient's thirteenth day of hospital admission, the pregabalin dose was decreased from 100 mg three times a day to 75 mg twice daily. Five days later, the pregabalin was decreased from 75 mg twice daily to 50 mg twice daily. Pregabalin was continued for five more days and then discontinued. Resolution of the lucid dreams occurred following discontinuation of pregabalin. To our knowledge, this is the first reported case of an association between pregabalin and lucid dreams. Given that pregabalin is a widely used medication, we found this case to be relevant to describe this unique presentation."
2,10.5935/1984-0063.20220035,'I love you': the first phrase detected from dreams.,"Many people have dreams nightly and some maintain consciousness during dreams. Such dreams are referred to as lucid dreams (LD). During dreams, our speech correlates with facial muscle activity, which is hard to decode, but LD could solve this problem. The primary hypothesis of this study was that the facial muscles electric activity during LD corresponds to specific sounds. Understanding this connection could help decode dream speech in the future."
3,10.3390/clockssleep4020021,Combining Wake-Up-Back-to-Bed with Cognitive Induction Techniques: Does Earlier Sleep Interruption Reduce Lucid Dream Induction Rate?,"Lucid dreaming offers the chance to investigate dreams from within a dream and by real-time dialogue between experimenters and dreamers during REM sleep. This state of consciousness opens a new experimental venue for dream research. However, laboratory study in this field is limited due to the rarity of lucid dreamers. In a previous study, we were able to induce in 50% of the participants a lucid dream in a single sleep laboratory night by combining a wake-up-back-to-bed (WBTB) sleep routine and a mnemonic method (Mnemonic Induction of Lucid Dreams, MILD). In three experiments, we tried to replicate our earlier findings while we adapted our procedure in shortening (Exp1–3: 4.5 vs. 6 h of uninterrupted sleep in the first half of the night), simplifying (Exp2: time-based wakening vs. REM wakening in the second half of the night), and applying another induction technique (Exp3: reality testing vs. MILD). In the three conditions, four out of 15 (26%), zero out of 20 (0%), and three out of 15 (20%) participants reported a lucid dream. Compared to the original study, the earlier sleep interruption seems to reduce the lucid dream induction rate. Furthermore, without REM awakenings in the morning, lucid dream induction failed, whereas reality testing showed a lower success rate compared to MILD. Further systematic sleep laboratory studies are needed to develop reliable techniques for lucid dream research."
4,10.3389/fpsyg.2022.858745,Examining the Relation Between Practicing Meditation and Having Peak Experiences and Lucid Dreams. A Cross-Sectional Study.,"The aim of this study was to compare meditators and non-meditators in terms of their tendency to have peak experiences and their dream lucidity, while examining the associations between these outcomes and some related variables such as non-dual awareness, mindfulness facets and absorption. In this cross-sectional study, 237 participants from general Spanish population completed an online survey that included ad hoc questions related to the study aim, along with the Five Facet Mindfulness Questionnaire (FFMQ), the Non-dual Embodiment Thematic Inventory (NETI), the Tellegen Absorption Scale (TAS) and the Lucidity and Consciousness in Dreams Scale (LUCID). Of the total, 110 participants were identified as meditators and 127 as non-meditators. More than half of the sample (58.2%) reported having experienced at least one peak experience in their life; these showed no differences in the number, intensity, or self-inducing ability of these experiences between both groups but were significantly more common among meditators (71.8% vs. 46.8%; p &amp;lt; 0.001), who also presented higher scores in most of the questionnaires, except for some LUCID subscales. Regression models demonstrated that being a meditator was a significant predictor of having had a peak experience, but not of LUCID scores. These results, which need to be interpreted considering the study limitations, support the potential of meditation to facilitate having peak experiences, while its impact on lucid dreams remains unclear."
5,10.1093/sleep/zsac105,Postural balance in frequent lucid dreamers: a replication attempt.,"Abstract
               
                  Study Objectives
                  Early research suggests that the vestibular system is implicated in lucid dreaming, e.g. frequent lucid dreamers outperform others on static balance tasks. Furthermore, gravity-themed dreams, such as flying dreams, frequently accompany lucid dreaming. Nonetheless, studies are scarce.
               
               
                  Methods
                  We attempted to: (1) replicate previous findings using more sensitive static balance measures and (2) extend these findings by examining relationships with dreamed gravity imagery more generally. 131 participants (80 F; Mage=24.1 ± 4.1 yrs) estimated lucid dreaming frequency then completed a 5-day home log with ratings for dream lucidity awareness, control, and gravity sensations (flying, falling). They then performed balance tasks on a sensitive force plate, i.e. standing on one or both feet, with eyes open or closed. Center of pressure (CoP) Displacement and CoP Velocity on each trial measured postural stability.
               
               
                  Results
                  Findings partially support the claim of a vestibular contribution to lucid dreaming. Frequent lucid dreamers displayed better balance (lower CoP Velocity) than did other participants on some trials and lucid dreaming frequency was globally correlated with better balance (lower CoP Velocity). Lower CoP Velocity was related to flying sensations in men’s dreams and with more dream control in women’s dreams. However, body height—possibly due to its relationship to sex—and levels of sleepiness confound some of these effects.
               
               
                  Conclusion
                  While findings only provide a partial replication of previous work, they nonetheless support an emerging view that the vestibular system underlies basic attributes of bodily self-consciousness, such as feelings of self-agency and self-location, whether such consciousness occurs during wakefulness or dreaming.
               "
6,10.3390/ijerph19073857,The Oneiric Activity during and after the COVID-19 Total Lockdown in Italy: A Longitudinal Study.,"A growing body of evidence highlights that the COVID-19 pandemic affected oneiric activity. However, only a few studies have assessed the longitudinal changes in dream phenomenology during different phases of the pandemic, often focused on a limited number of dream variables. The aim of the present study was to provide an exhaustive assessment of dream features during total lockdown (TL) and a post-lockdown (PL) period characterized by eased restrictive measures in Italy. We performed a longitudinal study using a web-based survey to collect demographic, COVID-19 related, clinical, sleep, and dream data at TL and PL. Our final sample included 108 participants. The high frequency of poor sleep quality, anxiety, and depressive symptoms observed during TL remained stable at PL, while sleep latency (t = −4.09; p &lt; 0.001) and PTSD-related disruptive nocturnal behaviors (t = −5.68; p &lt; 0.001) exhibited a reduction at PL. A PL decrease in time spent with digital media was observed (t = −2.77; p = 0.007). We found a strong PL reduction in dream frequency (t = −5.49; p &lt; 0.001), emotional load (t = −2.71; p = 0.008), vividness (t = −4.90; p &lt; 0.001), bizarreness (t = −4.05; p &lt; 0.001), length (t = −4.67; p &lt; 0.001), and lucid dream frequency (t = −2.40; p = 0.018). Fear was the most frequently reported emotion in dreams at TL (26.9%) and PL (22.2%). Only the frequency of specific lockdown-related dream contents exhibited a reduction at PL. These findings highlight that the end of the home confinement had a strong impact on the oneiric activity, in the direction of reduced dream frequency, intensity, and lockdown-related contents. The co-occurrence of such changes with a decline in nocturnal PTSD-related symptoms, sleep latency, and time with digital media suggests an influence of post-traumatic stress levels, lifestyle modifications, and sleep pattern on dream changes during different phases of the pandemic. The stable prevalence of fear in dreams and the large frequency of poor sleep quality, depressive symptoms, and anxiety are probably related to the persistence of many negative consequences of the pandemic. Overall, these results are consistent with the continuity hypothesis of dreams."
7,10.31053/1853.0605.v79.n1.32492,[Adaptation to Spanish and cross-cultural interpretation of the scale of lucidity and awareness in the subjects (Lucidity and Consciousness in Dreams scale)],"Introducción 
Se denomina sueños lúcidos, cuando el soñador es consciente de que esta soñando y puede controlar el contenido onírico. Carecemos de herramientas en habla hispana, que valoren la presencia de sueños lúcidos, por lo que nuestros objetivos fueron  realizar la adaptación al español e interpretación transcultural de la escala Lucidity and Consciousness in Dreams Scale (LuCID)  y evaluar la presencia de soñadores lúcidos en una población afines a las neurociencias.
Material  y métodos
Estudio de corte transversal, realizado mediante traducción y retro-traducción de la escala LuCID. El comité de ética, lo aprobó con el número 3359.
Resultados
220 encuestas, se eligieron N=216. Edad de sujetos que completaron: 18-76 (media:47) años. Mujeres: n=146 mujeres. Países: Argentina y México fueron los que mayoritariamente participaron. La media y desvío estándar de las subescalas analizadas fueron: control: 2.82/1.1; introspección: 2.79/1.1; emoción positiva: 2.66/1.3; disociación: 2.62/1.3; memoria: 2.51/1.1; pensamientos: 2.44/1.3; realismo: 2.34/1.2; emoción negativa: 2.22/1.3. De los encuetados, 56 individuos (24.5%), presentaron mayores puntajes en las subescalas para diagnóstico de sueño lúcidos.
Conclusión
se realizó la adaptación e interpretación transcultural  de la escala de lucidez y consciencia en los sueños (LuCID), que nos permitió detectar casi un tercio de soñadores lúcidos.
Esta escala, deberá ser validada en población selecta de soñadores lúcidos para su uso.
 "
8,10.3390/brainsci11111375,Dreams and Nightmares during the First and Second Wave of the COVID-19 Infection: A Longitudinal Study.,"Recent literature shows that the Coronovirus-19 (COVID-19) pandemic has provoked significant changes in dreaming. The current study intends to provide an update about dream variable changes during the second wave of COVID-19. A total of 611 participants completed a web survey from December 2020 to January 2021. Statistical comparisons showed that subjects had lower dream-recall frequency, nightmare frequency, lucid-dream frequency, emotional intensity, and nightmare distress during the second than the first wave of the pandemic. Dreams had a higher negative tone during the second than first wave. We revealed significant differences concerning post-traumatic growth, sleep-related post-traumatic stress disorder (PTSD) symptoms and sleep measures between groups obtained as a function of the changes in the oneiric frequency between the first and second waves. We also found significant correlations between qualitative/emotional dream features and COVID-19-related factors (job change, forced quarantine, having COVID-19 infected relatives/friends, or asking for mental health help). Overall, we found that the second wave affected fewer quantitative features of dream activity and there was less emotional intensity. Moreover, we confirmed the relationship between nightmares and the high risk of PTSD when subjects were grouped as a function of the increasing/decreasing frequency. Finally, our findings are partly coherent with the continuity hypothesis between oneiric and waking experiences."
9,10.1016/j.sleep.2021.10.030,Detecting lucid dreams only by submentalis electromyography.,"Lucid dreams (LDs) occur when people become aware that they are dreaming. This phenomenon has a wide range of possible applications from the perspectives of psychology, training physical movements, and controlling computers while asleep, among others. However, research on LDs might lack efficiency because the standard LD verification protocol uses polysomnography (PSG), which requires an expensive apparatus and skilled staff. The standard protocol also may reduce LD-induction efficiency. The current study examines whether humans can send phasic signals through submentalis electromyography (EMG) during muscle atonia via pre-agreed chin movements (PACM). This ability would manifest both REM sleep and consciousness, which are the main features of LDs. In laboratory conditions volunteers were instructed to open their jaws three times while in an LD right after the standard verification protocol to achieve the research goal. Results: 4 of 5 volunteers proved to be in an LD using the standard protocol, and then all of them made PACM. The outcomes show that dream signals cannot be blocked in the submentalis area during muscle atonia. Also, this finding can be considered to develop a simplified, reliable LD protocol that needs only one EMG sensor. The cost of this protocol could be only a small percentage of the current protocol, making it more convenient for researchers and volunteers. It can also be used remotely by inbuilt in wearable gadgets. Considering PACM could speed up LD research and provide many discoveries and new opportunities. Also, it can be used in sleep paralysis studies."
