DOI,title
10.1093/sleep/zsab294,"Lucid dreaming occurs in activated rapid eye movement sleep, not a mixture of sleep and wakefulness."
10.1080/15360288.2022.2081754,Lucid Dreams Associated with Pregabalin: Implications for Clinical Practice.
10.5935/1984-0063.20220035,'I love you': the first phrase detected from dreams.
10.3390/clockssleep4020021,Combining Wake-Up-Back-to-Bed with Cognitive Induction Techniques: Does Earlier Sleep Interruption Reduce Lucid Dream Induction Rate?
10.3389/fpsyg.2022.858745,Examining the Relation Between Practicing Meditation and Having Peak Experiences and Lucid Dreams. A Cross-Sectional Study.
10.1093/sleep/zsac105,Postural balance in frequent lucid dreamers: a replication attempt.
10.3390/ijerph19073857,The Oneiric Activity during and after the COVID-19 Total Lockdown in Italy: A Longitudinal Study.
10.31053/1853.0605.v79.n1.32492,[Adaptation to Spanish and cross-cultural interpretation of the scale of lucidity and awareness in the subjects (Lucidity and Consciousness in Dreams scale)]
10.1093/sleep/zsab294,"Lucid dreaming occurs in activated rapid eye movement sleep, not a mixture of sleep and wakefulness."
10.3390/brainsci11111375,Dreams and Nightmares during the First and Second Wave of the COVID-19 Infection: A Longitudinal Study.
10.1016/j.sleep.2021.10.030,Detecting lucid dreams only by submentalis electromyography.
10.3389/fpsyg.2021.733911,"Case Report: Why Sleep and Dream Related Psychological Treatments, Such as Sleepcoaching (According to Holzinger&Klösch) and CBT-I Should Be Implemented in Treatment Concepts in the Public Health System-Description of the Nightmare Treatment Process in the Context of PTSD."
10.3389/fpsyg.2021.742438,Validation of the Spanish Version of the Lucidity and Consciousness in Dreams Scale.
10.1007/s12144-021-02439-3,Reality shifting: psychological features of an emergent online daydreaming culture.
10.2174/2211556010666210215153513,Epigenetic Repair of Terrifying Lucid Dreams by Enhanced Brain Reward Functional Connectivity and Induction of Dopaminergic Homeostatic Signaling.
10.1371/journal.pone.0257738,Dreaming of the sleep lab.
10.1016/j.concog.2021.103194,The dynamic framework of mind wandering revisited: How mindful meta-awareness affects mental states' constraints.
10.3389/fpsyg.2021.700882,"Charles Dickens' Hypnagogia, Dreams, and Creativity."
10.1111/jsr.13429,"The impact of the end of COVID confinement on pandemic dreams, as assessed by a weekly sleep diary: a longitudinal investigation in Italy."
10.3389/fpsyg.2021.681569,Dream Activity in Narcoleptic Patients During the COVID-19 Lockdown in Italy.
10.1016/j.concog.2021.103163,I did not expect to be dreaming: Explaining realization in lucid dreams with a Bayesian framework.
10.1016/j.tics.2021.04.004,Two-Way Communication in Lucid REM Sleep Dreaming.
10.26355/eurrev_202104_25559,"Sleep, dreams, nightmares, and sex-related differences: a narrative review."
10.1016/j.cub.2021.02.016,Sleep: Opening a portal to the dreaming brain.
10.3389/fpsyg.2021.635183,"Editorial: ""Is this a Dream?"" - Evolutionary, Neurobiological and Psychopathological Perspectives on Lucid Dreaming."
10.1016/j.cub.2021.01.026,Real-time dialogue between experimenters and dreamers during REM sleep.
10.3389/fpsyg.2021.586808,Dream Lucidity and the Attentional Network Task.
10.1007/s41105-021-00313-0,Orchestration of dreams: a possible tool for enhancement of mental productivity and efficiency.
10.2147/NSS.S277647,Creativity in Narcolepsy Type 1: The Role of Dissociated REM Sleep Manifestations.
10.1098/rstb.2019.0697,Virtual reality training of lucid dreaming.
10.5664/jcsm.9056,Are sleep paralysis and false awakenings different from REM sleep and from lucid REM sleep? A spectral EEG analysis.
10.1038/s41598-020-76235-7,Nightmares and their treatment.
10.3389/fpsyg.2020.555731,A causal role for the right angular gyrus in self-location mediated perspective taking.
10.3390/clockssleep2010007,The Dream of God: How Do Religion and Science See Lucid Dreaming and Other Conscious States During Sleep?
10.1002/alz.12162,Lucid Dreaming and the Feeling of Being Refreshed in the Morning: A Diary Study.
10.3389/fpsyg.2020.01826,Unexpected awakenings in severe dementia from case reports to laboratory.
10.1016/S1474-4422(20)30275-1,Cognitions in Sleep: Lucid Dreaming as an Intervention for Nightmares in Patients With Posttraumatic Stress Disorder.
10.1111/jsr.13154,Dreams and nightmares in healthy adults and in patients with sleep and neurological disorders.
10.3389/fpsyg.2020.01885,Could sleep paralysis be pleasant?
10.1016/j.mehy.2020.110169,Lucid Dreaming Brain Network Based on Tholey's 7 Klartraum Criteria.
10.1016/j.concog.2020.102988,"Is there a relation among REM sleep dissociated phenomena, like lucid dreaming, sleep paralysis, out-of-body experiences, and false awakening?"
10.3389/fpsyg.2020.01746,Sleep fragmentation and lucid dreaming.
10.3389/fnhum.2020.00259,Findings From the International Lucid Dream Induction Study.
10.1016/j.concog.2020.102958,"Key Concepts in Dream Research: Cognition and Consciousness Are Inherently Linked, but Do No Not Control ""Control""!"
10.3389/fpsyg.2020.01383,Flying dreams stimulated by an immersive virtual reality task.
10.3389/fpsyg.2020.01290,"Wake Up, Work on Dreams, Back to Bed and Lucid Dream: A Sleep Laboratory Study."
10.1016/j.concog.2020.102974,"Is There a Link Between Frequency of Dreams, Lucid Dreams, and Subjective Sleep Quality?"
10.1016/j.concog.2020.102975,Partial memory reinstatement while (lucid) dreaming to change the dream environment.
10.1016/j.concog.2020.102971,Inducing lucid dreams by olfactory-cued reactivation of reality testing during early-morning sleep: A proof of concept.
10.1016/j.concog.2020.102957,Dream lucidity is associated with positive waking mood.
10.1016/j.concog.2020.102960,Attempted induction of signalled lucid dreaming by transcranial alternating current stimulation.
10.1016/j.cognition.2020.104308,Inducing signal-verified lucid dreams in 40% of untrained novice lucid dreamers within two nights in a sleep laboratory setting.
10.3389/fnins.2020.00361,How people perceive the minds of the dead: The importance of consciousness at the moment of death.
10.3389/fpsyg.2020.00505,On Moving the Eyes to Flag Lucid Dreaming.
10.3389/fpsyg.2020.00471,Dark Triad Traits and Sleep-Related Constructs: An Opinion Piece.
10.1080/15402002.2020.1739688,"Lucid Dreaming, Nightmares, and Sleep Paralysis: Associations With Reality Testing Deficits and Paranormal Experience/Belief."
10.1177/1363461520901638,Managing Insomnia Using Lucid Dreaming Training: A Pilot Study.
10.3389/fnins.2019.01423,Rehabilitating the mind: 
10.3389/fpsyg.2019.02946,Are Lucid Dreams Good for Us? Are We Asking the Right Question? A Call for Caution in Lucid Dream Research.
10.3389/fpsyg.2019.02618,Bizarreness of Lucid and Non-lucid Dream: Effects of Metacognition.
10.3389/fpsyg.2019.02585,"My Dream, My Rules: Can Lucid Dreaming Treat Nightmares?"
10.17505/jpor.2019.03,Is It a Good Idea to Cultivate Lucid Dreaming?
10.1136/ejhpharm-2016-001106,Patterns of Occurrence of Four States of Consciousness as a Function of Trait Absorption.
10.1093/brain/awz137,Analysis of self-reported adverse reactions to efavirenz and drug interactions in a population with HIV in Mexico.
10.3389/fnins.2019.00428,Increased creative thinking in narcolepsy.
10.3233/ADR-190100,Portable Devices to Induce Lucid Dreams-Are They Reliable?
10.3389/fpsyg.2019.00459,Increased lucid dream frequency in long-term meditators but not following MBSR training.
10.1016/j.neubiorev.2019.03.008,Mining Clinical Case Reports to Identify New Lines of Investigation in Alzheimer's Disease: The Curious Case of DNase I.
