Title,Authors,Year,Journal,Abstract,Link
Reality testing and the mnemonic induction of lucid dreams: Findings from the national Australian lucid dream induction study.,"['DJ Aspy', 'P Delfabbro', 'M Proeve', 'P Mohr']",2017,Dreaming,"lucid dream induction techniques—reality testing, wake back to bed (WBTB), and the mnemonic  induction of lucid dreams (MILD)  1, and practiced lucid dream induction techniques in",https://doi.apa.org/doiLanding?doi=10.1037/drm0000059
"Wake up, work on dreams, back to bed and lucid dream: A sleep laboratory study","['D Erlacher', 'T Stumbrys']",2020,Frontiers in psychology,"The findings of the present study show that by using a combination of WBTB and MILD,  lucid dreams can be effectively induced in people who are not selected for their lucid dream",https://www.frontiersin.org/articles/10.3389/fpsyg.2020.01383/full
Findings from the international lucid dream induction study,['DJ Aspy'],2020,Frontiers in Psychology,significant increase in lucid dreaming rates observed in the RT + WBTB + MILD group. This  is  WBTB and MILD. Higher general dream recall was a significant predictor of lucid dreaming,https://www.frontiersin.org/articles/10.3389/fpsyg.2020.01746/full?fbclid=IwAR1YStJ1ZLI6yEFEIP0QYK-nv6r6RkCCUIWvQEgG4XvThFYxJHMJaOHtl0s
Inducing lucid dreams: The wake-up-back-to-bed technique in the home setting.,"['M Schredl', 'S Dyck', 'A Kühnel']",2020,Dreaming,the percentage of lucid dreaming using the WBTB technique at home with the support of  modern social media to increase the motivation to adhere to the WBTB plus MILD protocol. The,https://psycnet.apa.org/journals/drm/30/4/287/
A systematic review of new empirical data on lucid dream induction techniques,"['S Tan', 'J Fan']",2022,Journal of Sleep Research,"assess if WBTB could affect the lucid dream induction rates of cortical stimuli.  MILD,  consistent with the Stumbrys et al. (2012) results. The MILD technique successfully induced lucid",https://onlinelibrary.wiley.com/doi/abs/10.1111/jsr.13786
Combining Wake-Up-Back-to-Bed with Cognitive Induction Techniques: Does Earlier Sleep Interruption Reduce Lucid Dream Induction Rate?,"['D Erlacher', 'V Furrer', 'M Ineichen', 'J Braillard', 'D Schmid']",2022,Clocks & Sleep,"respect to the lucid dream induction rate by applying a combination of WBTB and MILD [20].   the aforementioned study by our research group in which we combined WBTB, reality testing",https://www.mdpi.com/article/10.3390/clockssleep4020021
The science of lucid dream induction,"['T Stumbrys', 'D Erlacher']",2014,Lucid dreaming: New perspectives on …,"duration of the WBTB period for lucid dreaming. Levitan  lucid dream induction it is most  effective to use MILD in early morning hours with 60 minutes of WBTB, during which time dream-",https://books.google.com/books?hl=en&lr=&id=uRGJBAAAQBAJ&oi=fnd&pg=PA77&dq=wbtb+mild+lucid+dreaming&ots=P8pTPyltbw&sig=eta538xyXw1uWv33YXAL1xDP1Qw
Lucid dream induction by auditory stimulation and reality testing during early-morning sleep,"['D Schmid', 'D Erlacher']",2020,… Journal of dream research,In an unpublished sleep laboratory study by our research group the reduction of sleep  duration to 4.5 hours (WBTB in combination with MILD) also showed low rates of lucid dreaming (,https://journals.ub.uni-heidelberg.de/index.php/IJoDR/article/view/71695
Inducing lucid dreams by olfactory-cued reactivation of reality testing during early-morning sleep: A proof of concept,"['D Erlacher', 'D Schmid', 'S Schuler', 'B Rasch']",2020,Consciousness and cognition,"of lucid dream induction, it is an open question whether pairing an odor during the induction  technique (eg MILD) of the WBTB- show that the combination of WBTB and odor-cued reality",https://www.sciencedirect.com/science/article/pii/S1053810020300222
General knowledge about lucid dreaming and lucid dream induction techniques: an online study,"['A Neuhäusler', 'M Schredl', 'AS Göritz']",2018,Int. J. Dream Res,"to have a lucid dream or intends to have a lucid dream by  I am dreaming and become  lucid.” resp. “I intend to have a  dreamer performs typically the MILD technique, ie, the WBTB",https://www.goeritz.net/IJDR2.pdf
