DOI,Title
10.3389/fpsyg.2020.01383,"Wake up, work on dreams, back to bed and lucid dream: A sleep laboratory study"
10.3389/fpsyg.2020.01746,Findings from the international lucid dream induction study
10.3390/clockssleep4020021,Combining Wake-Up-Back-to-Bed with Cognitive Induction Techniques: Does Earlier Sleep Interruption Reduce Lucid Dream Induction Rate?
10.11588/ijodr.2020.1.71695,Lucid dream induction by auditory stimulation and reality testing during early-morning sleep
10.3389/fpsyg.2021.635183,"“Is this a Dream?”–Evolutionary, Neurobiological and Psychopathological Perspectives on Lucid Dreaming"
10.3389/fpsyg.2020.01746,Everything You Need To Know About Lucid Dreaming In 6 Minutes Or Less
10.11588/ijodr.2021.1.80536,"Book review: Malinowski, J.(2021). The psychology of dreaming."
,Exploring the range of reported dream lucidity
10.14401/KASMED.2019.26.2.75,Understanding and Application of Lucid Dreams in Sleep Medicine
10.11588/ijodr.2020.1.68010,A pilot investigation into brain-computer interface use during a lucid dream
